"Account Code","Account Name (EN)","Account Name (AR)","Account Type","Parent Account","Parent Name",Level,"Posting / Non-Posting","Active / Inactive","Normal Balance","FS Line","Reporting Group","Cash / Bank","Control Account (subledger)","Counterparty Required","Advance Holder Required"
310040,"Current-Year Result","نتيجة السنة الجارية",Equity,310000,Equity,2,Posting,Active,Cr,SFP-E-250,Equity,,,,
410001,"Truck Entry Fees","رسوم دخول الشاحنات",Revenue,410000,Revenue,2,Posting,Active,Cr,PL-010,Revenue,,,Yes,
410002,"Yard Service Fees","رسوم خدمات الساحة",Revenue,410000,Revenue,2,Posting,Active,Cr,PL-010,Revenue,,,Yes,
410003,"Handling Fees","رسوم المناولة",Revenue,410000,Revenue,2,Posting,Active,Cr,PL-010,Revenue,,,Yes,
410004,"Parking Fees","رسوم المواقف",Revenue,410000,Revenue,2,Posting,Active,Cr,PL-010,Revenue,,,Yes,
410005,"Rental Income – Shops & Facilities","إيرادات إيجار المحال والمرافق",Revenue,410000,Revenue,2,Posting,Active,Cr,PL-010,Revenue,,,Yes,
410006,"Electronic Service Income","إيرادات الخدمات الإلكترونية",Revenue,410000,Revenue,2,Posting,Active,Cr,PL-010,Revenue,,,Yes,
410009,"Other Project Operating Revenue","إيرادات تشغيلية أخرى للمشروع",Revenue,410000,Revenue,2,Posting,Active,Cr,PL-010,Revenue,,,Yes,
510001,"Government Revenue Share – 20%","حصة الإيراد الحكومية - 20٪",Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-020,"Direct Operating Costs",,,,
510010,"Direct Operating Salaries","رواتب تشغيلية مباشرة",Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
510011,"Security Services","خدمات الأمن",Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
510012,Fuel,الوقود,Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
510013,Electricity,الكهرباء,Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
510014,"Project Maintenance","صيانة المشروع",Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
510015,"System Operation","تشغيل الأنظمة",Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
510016,"Cleaning Services","خدمات النظافة",Expense,510000,"Direct Operating Costs",2,Posting,Active,Dr,PL-040,"Direct Operating Costs",,,,
